,net_manager,purchase_area,street,zipcode_from,zipcode_to,city,num_connections,delivery_perc,perc_of_active_connections,type_conn_perc,type_of_connection,annual_consume,annual_consume_lowtarif_perc,smartmeter_perc,Year
6322,Endinet,871688700000002681,Winselerhof,5625LW,5625LW,EINDHOVEN,13.0,84.62,100.0,69,3x25,4503,84.62,69.23,
6323,Endinet,871688700000002681,Winselerhof,5625LX,5625LX,EINDHOVEN,15.0,86.67,100.0,100,3x25,4333,73.33,73.33,
6324,Endinet,871688700000002681,Winselerhof,5625LZ,5625LZ,EINDHOVEN,15.0,80.0,100.0,60,1x35,3047,33.33,26.67,
6325,Endinet,871688700000002681,Luxemburglaan,5625NA,5625NA,EINDHOVEN,19.0,100.0,94.74,84,3x25,3457,68.42,52.63,
6326,Endinet,871688700000002681,Luxemburglaan,5625NB,5625NB,EINDHOVEN,25.0,84.0,100.0,76,3x25,2707,68.0,60.0,
6327,Endinet,871688700000002681,Luxemburglaan,5625NC,5625NC,EINDHOVEN,23.0,82.61,95.65,57,3x25,3243,47.83,47.83,
6328,Endinet,871688700000002681,Luxemburglaan,5625ND,5625ND,EINDHOVEN,16.0,100.0,100.0,81,1x35,3296,25.0,18.75,
6329,Endinet,871688700000002681,Garnichweg,5625NE,5625NE,EINDHOVEN,17.0,100.0,100.0,94,1x35,3594,17.65,0.0,
6330,Endinet,871688700000002681,Garnichweg,5625NG,5625NG,EINDHOVEN,13.0,100.0,100.0,85,1x35,3686,23.08,7.69,
6331,Endinet,871688700000002681,Garnichweg,5625NH,5625NH,EINDHOVEN,27.0,100.0,100.0,78,1x35,2515,14.81,7.41,
6332,Endinet,871688700000002681,Hosingenhof,5625NJ,5625NJ,EINDHOVEN,17.0,88.24,100.0,65,1x35,9217,35.29,29.41,
6333,Endinet,871688700000002681,Hosingenhof,5625NK,5625NK,EINDHOVEN,13.0,100.0,100.0,85,1x35,2892,15.38,7.69,
6334,Endinet,871688700000002681,Hosingenhof,5625NL,5625NL,EINDHOVEN,18.0,100.0,100.0,78,1x35,2261,16.67,16.67,
6335,Endinet,871688700000002681,Eschweilerhof,5625NM,5625NM,EINDHOVEN,15.0,100.0,100.0,80,1x35,3189,20.0,6.67,
6336,Endinet,871688700000002681,Eschweilerhof,5625NN,5625NN,EINDHOVEN,14.0,71.43,100.0,50,1x35,3731,57.14,42.86,
6337,Endinet,871688700000002681,Eschweilerhof,5625NP,5625NP,EINDHOVEN,13.0,92.31,100.0,54,1x35,3206,53.85,46.15,
6338,Endinet,871688700000002681,Lenningenhof,5625NR,5625NR,EINDHOVEN,15.0,93.33,100.0,53,1x35,2355,20.0,13.33,
6339,Endinet,871688700000002681,Lenningenhof,5625NS,5625NS,EINDHOVEN,15.0,60.0,100.0,60,3x25,2701,73.33,73.33,
